,date_time,nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,nwp_winddirection,nwp_pressure,lmd_totalirrad,lmd_diffuseirrad,lmd_temperature,lmd_pressure,lmd_winddirection,lmd_windspeed,power,GHI_clear,DNI_clear,DHI_clear,POA_clear,P_theoretical_W,power_W,GHI_ratio,DNI_ratio,K_PV
36,2018-07-01 01:00:00+00:00,613.22,567.13,27.42,33.76,2.86,99.34,930.76,778,364,24.4,934.799988,335,0.0,8.398700999999999,642.0480691419289,764.1206265156299,118.0320130728403,588.2893586135011,11530471.428824624,8398701.0,0.9550998273689127,0.7421995694398383,0.7283918139725302
37,2018-07-01 01:15:00+00:00,658.35,611.13,27.76,33.37,3.49,95.42,930.66,837,390,24.299999,934.700012,72,0.3,9.09504,685.1611150782153,778.8623646926015,122.07448378008974,638.8371784961279,12521208.698524106,9095040.0,0.9608688898301612,0.7846444092098332,0.7263707697062861
38,2018-07-01 01:30:00+00:00,686.79,638.87,28.0,33.36,4.03,93.57,930.57,892,416,24.9,934.5,344,1.7,9.748746,725.9422957909591,791.6813150044161,125.80284194147885,686.9446038797685,13464114.236043464,9748746.0,0.9460669311900332,0.8069787525507487,0.7240540171519478
39,2018-07-01 01:45:00+00:00,726.96,678.08,28.25,33.13,4.44,93.38,930.47,948,443,26.5,934.5,30,0.0,10.37403,764.1907483865085,802.8235561647904,129.22538352281606,732.2892647132554,14352869.588379806,10374030.0,0.951280817694906,0.8446189636478666,0.7227843837164726
40,2018-07-01 02:00:00+00:00,751.96,702.53,28.46,32.71,4.78,93.88,930.37,998,464,26.700001,934.5,85,0.0,10.91405,799.7216512588911,812.4896350118896,132.34731528467023,774.5819596540709,15181806.409219792,10914050.0,0.9402771562034034,0.8646633381233466,0.7188900784146466
41,2018-07-01 02:15:00+00:00,786.5,736.3,28.66,32.2,5.06,94.34,930.39,1034,447,27.1,934.400024,56,1.1,11.35459,832.36585756989,820.843542697544,135.17159534266204,813.5636561067408,15945847.659692122,11354590.0,0.9448969979333411,0.8970040716654626,0.7120718974822585
42,2018-07-01 02:30:00+00:00,807.34,756.67,28.84,31.85,5.27,95.04,930.55,1046,120,27.299999,934.5,341,2.4,11.29774,861.9697864540497,828.0195954353615,137.69957660275838,842.9692512878036,16522197.325240953,11297740.0,0.9366221562373035,0.9138310302936166,0.6837916154614888
43,2018-07-01 02:45:00+00:00,835.2,783.92,29.01,31.66,5.42,95.55,930.69,1082,118,28.299999,934.5,87,1.7,8.128692,888.3954523691123,834.1277291755762,139.9315013711921,873.9562889557121,17129543.263531957,8128691.999999999,0.9401218767754222,0.9398081044192118,0.4745422498979074
44,2018-07-01 03:00:00+00:00,851.44,799.81,29.18,31.37,5.5,95.82,930.75,1061,124,28.200001,934.599976,132,0.8,11.39722,911.520588579514,839.25759193492,141.8668847488973,901.0487978164264,17660556.437201954,11397220.0,0.9340875134009406,0.9529970389139131,0.6453488620546384
45,2018-07-01 03:15:00+00:00,872.22,820.14,29.37,30.75,5.55,95.82,930.76,1205,150,28.5,934.5,156,0.0,12.23567,931.2388302370268,843.4817130044962,143.50481313477394,924.1088820021034,18112534.08724123,12235670.0,0.9366233147494453,0.9723269483562926,0.6755360647530271
46,2018-07-01 03:30:00+00:00,883.59,831.27,29.52,30.43,5.59,95.58,930.71,1204,197,28.700001,934.299988,334,0.0,10.14665,947.4599063164528,846.8579486007984,144.8441745016794,943.0285456149406,18483359.49405284,10146650.0,0.9325882753553477,0.9815931956161559,0.5489613510609238
47,2018-07-01 03:45:00+00:00,896.9,844.3,29.68,30.07,5.65,95.6,930.66,1260,527,29.299999,934.299988,277,1.7,11.8804,960.1098331819784,849.4313568709675,145.8838351451958,957.7319170970748,18771545.575102665,11880400.0,0.9341639560418942,0.9939590682290446,0.6328940764343548
48,2018-07-01 04:00:00+00:00,903.25,850.54,29.84,29.83,5.69,95.93,930.6,1212,537,28.700001,934.5,330,5.4,10.23192,969.13109484678,851.2356083826771,146.62277383142782,968.1768809945856,18976266.867493875,10231920.0,0.9320204508996837,0.9991828250888155,0.539195621111714
49,2018-07-01 04:15:00+00:00,908.96,856.13,30.02,29.49,5.7,96.35,930.61,1143,513,29.1,934.200012,38,0.7,9.23715,974.4827766702036,852.293995912221,147.06018242825303,974.3523307132072,19097305.681978863,9237150.0,0.9327614830771107,1.0045007991446346,0.4836886497929715
50,2018-07-01 04:30:00+00:00,910.04,857.18,30.19,29.06,5.63,97.45,930.64,1098,495,28.700001,934.400024,7,1.1,11.59618,976.140640859084,852.6200818007044,147.1955435607531,976.2655694260512,19134805.1607506,11596180.0,0.9322836914146818,1.005348124324805,0.6060255070580043
51,2018-07-01 04:45:00+00:00,907.88,855.06,30.34,28.64,5.5,98.03,930.52,1226,571,29.1,934.200012,13,1.7,12.29251,974.0971420301692,852.2180246231152,147.02868667524592,973.9219934436858,19088871.07149624,12292510.0,0.9320220343813325,1.003334798484392,0.6439621260974067
52,2018-07-01 05:00:00+00:00,903.91,851.19,30.47,28.34,5.35,98.66,930.37,1144,532,29.0,934.099976,183,1.8,13.15939,968.3614209498584,851.0826644335225,146.5598084028569,967.3149622955136,18959373.26099207,13159390.0,0.9334428039412821,1.0001261164995636,0.6940835975350917
53,2018-07-01 05:15:00+00:00,894.04,841.53,30.58,28.18,5.2,98.54,930.18,1243,576,29.5,934.0,153,2.5,10.34561,958.9593123437788,849.1994147838114,145.7894476543877,956.4379646935978,18746184.107994515,10345610.0,0.9323023286722035,0.9909686527683678,0.5518781817355566
54,2018-07-01 05:30:00+00:00,884.85,832.56,30.69,28.04,5.13,97.56,929.97,1132,518,29.5,933.900024,12,2.7,10.34561,945.933325281286,846.5439042626235,144.7184268052207,941.3047468947371,18449573.039136853,10345610.0,0.9354253374431839,0.9834811824971982,0.5607506459934863
55,2018-07-01 05:45:00+00:00,867.47,815.52,30.8,27.86,5.16,96.19,929.78,1068,493,29.6,933.700012,61,3.0,12.90359,929.342561752971,843.081290971923,143.34777186345866,921.96073346366,18070430.375887737,12903590.0,0.9334232991155984,0.9673088570852406,0.7140720907908145
56,2018-07-01 06:00:00+00:00,853.48,801.83,30.9,27.64,5.28,94.7,929.52,1127,519,29.9,933.599976,260,2.7,11.86619,909.2625789464104,838.7652110879037,141.67860879575744,898.4850547810597,17610307.07370877,11866190.0,0.9386507481578673,0.9559647794166408,0.6738207318210582
57,2018-07-01 06:15:00+00:00,828.85,777.73,30.99,27.41,5.47,93.65,929.37,1080,500,30.700001,933.400024,49,0.5,10.40245,885.7852071523675,833.5363209597812,139.71202520025645,870.9887310668769,17071379.128910787,10402450.0,0.9357234612944108,0.9330487231851846,0.609350300373987
58,2018-07-01 06:30:00+00:00,810.12,759.4,31.06,27.37,5.69,92.26,929.13,990,454,30.200001,933.400024,355,0.5,11.28353,859.018356440538,827.320364859769,137.44888827720456,839.61248814806,16456404.767701978,11283530.0,0.9430764708647728,0.9179031875139668,0.6856619145723447
59,2018-07-01 06:45:00+00:00,778.68,728.66,31.1,27.46,5.9,91.16,928.96,930,430,29.6,933.299988,20,2.0,8.455544999999999,829.0858270027784,820.025657657499,134.88960794783668,809.7619763717412,15871334.736886129,8455544.999999998,0.939203125465309,0.8885819525226858,0.5327557600022574
60,2018-07-01 07:00:00+00:00,755.56,706.07,31.14,27.55,6.03,90.38,928.87,902,340,29.9,933.200012,281,1.9,8.341857000000001,796.1271309343421,811.5398239674381,132.0338299533547,770.4283778389879,15100396.205644164,8341857.000000001,0.9490444059019416,0.8700374019209316,0.5524263659308499
61,2018-07-01 07:15:00+00:00,717.97,669.35,31.14,27.64,6.1,89.44,928.74,354,138,30.1,933.299988,141,0.9,9.336627,760.2973776285667,801.7255870412979,128.88004160201456,727.8074950723781,14265026.90341861,9336627.0,0.9443278658140458,0.8348866629917363,0.6545116993619184
62,2018-07-01 07:30:00+00:00,691.01,643.02,31.16,27.7,6.16,88.26,928.56,813,133,30.200001,933.299988,93,1.2,8.967141,721.7672589274302,790.4153182418312,125.42506283677336,682.1612584403387,13370360.665430635,8967141.0,0.9573861815606093,0.8135216830441855,0.6706730823787531
63,2018-07-01 07:45:00+00:00,647.84,600.9,31.15,27.8,6.2,87.24,928.35,747,134,30.5,932.900024,120,1.7,7.403931,680.7231806033255,777.4039496126518,121.66338358573296,633.7820445782122,12422128.073732955,7403931.0,0.9516937551999021,0.7729572255188613,0.5960275852940112
64,2018-07-01 08:00:00+00:00,617.28,571.11,31.18,27.83,6.22,86.9,928.21,687,133,29.9,932.900024,350,1.7,8.142903,637.3676641506635,762.4397214101742,117.58629708571812,582.9958032380943,11426717.743466647,8142903.0,0.9684833961926329,0.7490559370958542,0.7126195975791731
65,2018-07-01 08:15:00+00:00,569.27,524.33,31.18,27.8,6.25,87.14,928.0,468,209,29.700001,932.900024,68,1.3,6.650747999999999,591.9201508213421,745.2120306109549,113.18075325477514,530.1665988005623,10391265.33649102,6650747.999999999,0.9617344488274086,0.7035984102002931,0.6400325450880904
66,2018-07-01 08:30:00+00:00,536.08,492.09,31.21,27.51,6.35,87.55,927.86,388,164,29.700001,932.799988,359,1.0,5.059116,544.618410774901,725.3353793071248,108.42782333621568,475.7031178098123,9323781.10907232,5059116.0,0.9843222142219683,0.678430990737096,0.5426034717907875
67,2018-07-01 08:45:00+00:00,484.99,442.5,31.18,27.23,6.48,88.17,927.8,272,110,29.299999,932.700012,6,1.0,3.325374,495.7209466815705,702.3281092832902,103.30062675882732,418.6833186916214,8206193.04635578,3325374.0,0.978352848001673,0.6300474011378544,0.4052273668454262
68,2018-07-01 09:00:00+00:00,450.12,408.7,31.14,27.07,6.54,88.43,927.8,232,89,29.0,932.799988,170,1.1,2.899044,445.51095569244137,675.5842224832746,97.76150350609156,362.0984565311472,7097129.748010485,2899044.0,1.0103455240520292,0.6049578814877047,0.4084811892882019
69,2018-07-01 09:15:00+00:00,396.77,357.13,31.03,27.09,6.53,88.42,927.81,229,86,28.9,932.700012,49,0.0,2.884833,394.3028057677723,644.3363148073447,91.75813317595056,305.5011441302345,5987822.424952596,2884833.0,1.0062571054431724,0.5542602392459924,0.481783325433676
70,2018-07-01 09:30:00+00:00,360.0,321.01,30.93,27.22,6.5,88.3,927.76,199,75,28.799999,932.599976,84,2.4,2.472714,342.4527721645803,607.6080173163222,85.21822662337178,249.62323163749448,4892615.340094891,2472714.0,1.051239847540164,0.5283175844483327,0.5053971808770975
71,2018-07-01 09:45:00+00:00,306.16,270.05,30.75,27.47,6.46,88.58,927.67,165,62,28.700001,932.5,348,0.6,2.032173,290.37710387833465,564.1567507345607,78.04240771501205,195.3525327678267,3828909.6422494026,2032173.0,1.0543531012289393,0.47867901899318094,
72,2018-07-01 10:00:00+00:00,269.71,235.2,30.6,27.71,6.42,89.07,927.62,110,42,28.5,932.700012,161,0.4,1.293201,238.5832111687176,512.4165655738409,70.09527269098592,143.79134906326317,2818310.4416399584,1293201.0,1.1304651265225474,0.45900155420737837,
73,2018-07-01 10:15:00+00:00,215.56,183.93,30.36,28.17,6.34,89.39,927.51,107,41,28.5,932.799988,199,1.0,1.236357,187.72539211872825,450.4796923118176,61.19639357726157,96.33669074287678,1888199.1385603847,1236357.0,1.1482730043449187,0.40829809454026506,
74,2018-07-01 10:30:00+00:00,179.86,150.51,30.11,28.89,6.14,89.72,927.49,88,33,28.299999,932.700012,81,1.9,0.99477,138.7080791825611,376.2441911644175,51.11974954864933,54.7781934288885,1073652.5912062146,994770.0,1.2966800568500172,0.40003275408503947,
75,2018-07-01 10:45:00+00:00,128.15,102.65,29.69,30.15,5.68,90.01,927.56,60,23,27.9,932.900024,176,0.4,0.653706,92.88336474725143,288.1248897739304,39.63423512863956,29.803519058640354,584148.9735493509,653706.0,1.3796873137478816,0.35626911677273565,
121,2018-07-01 22:15:00+00:00,87.48,47.77,21.12,63.18,2.39,347.16,929.01,47,18,20.1,932.700012,355,0.0,0.4405409999999999,96.5084069242536,295.9463670422708,40.64178581173714,30.539827634845786,598580.6216429773,440540.9999999999,0.9064495289893272,0.16141438219843693,
122,2018-07-01 22:30:00+00:00,113.53,67.98,21.84,61.47,1.87,346.49,928.99,90,35,20.5,932.700012,357,0.0,1.051614,142.66398969218383,382.8985193832154,52.00387469678354,58.10911835971968,1138938.7198505057,1051614.0,0.7957859600376787,0.1775405141537352,
123,2018-07-01 22:45:00+00:00,148.85,82.77,22.76,59.06,1.36,339.01,929.13,124,46,20.9,932.599976,161,0.0,1.577421,191.87524569521213,456.0385991792535,61.97350158194544,100.26897747185036,1965271.9584482668,1577421.0,0.775764478949221,0.18149779459230794,
124,2018-07-01 23:00:00+00:00,162.92,82.85,23.43,56.05,1.01,327.95,929.2,108,41,21.299999,932.700012,12,0.0,1.335834,242.8382263278036,517.0507517551456,70.78531576928424,148.15627191279907,2903862.929490862,1335834.0,0.6708993162389384,0.16023572099791553,
125,2018-07-01 23:15:00+00:00,203.22,132.21,24.07,53.32,0.79,308.49,929.37,122,47,21.299999,932.799988,300,0.0,1.520577,294.67490146771445,568.0355666050065,78.66213207000757,200.0178778784694,3920350.406418,1520577.0,0.6896413606581471,0.23274951036989303,0.3878676246670873
126,2018-07-01 23:30:00+00:00,159.45,65.93,24.34,52.67,0.68,279.32,929.51,219,89,21.799999,932.900024,125,0.0,2.742723,346.74610907634485,610.8743530981467,85.78039969269292,254.48503850314228,4987906.754661588,2742723.0,0.45984654427627064,0.10792726796537701,0.5498745535763497
127,2018-07-01 23:45:00+00:00,228.45,141.65,24.82,50.72,0.66,267.75,929.52,365,158,22.1,933.099976,322,1.0,3.964869,398.5535832199432,647.1045819524885,92.27216693340654,310.47618279414354,6085333.182765213,3964869.0,0.573197706954071,0.21889815641948304,0.6515450971902805
128,2018-07-02 00:00:00+00:00,211.43,152.11,24.99,50.25,0.65,257.1,929.43,563,241,23.4,933.099976,352,0.0,6.480216,449.268777337946,676.4951989059608,98.56742673967466,366.8512661769455,7190284.817068132,6480216.0,0.4706091557325372,0.22485008060071204,0.9012460792397838
129,2018-07-02 00:15:00+00:00,244.47,135.98,25.33,49.33,0.65,237.69,929.32,675,287,24.5,933.099976,303,0.5,6.409161,499.36394430204,702.9604182308437,104.0891283347366,423.3923075489322,8298489.22795907,6409161.0,0.4895627783894074,0.19343905641547202,0.7723286521125325
130,2018-07-02 00:30:00+00:00,316.89,171.83,25.8,48.22,0.71,208.15,929.22,478,198,24.4,933.099976,66,1.1,5.6844,548.1226913663776,725.7398989851222,109.19990221770968,480.28777515476907,9413640.393033473,5684400.0,0.5781369846412426,0.23676526568304682,0.6038471582371807
131,2018-07-02 00:45:00+00:00,379.58,213.82,26.2,47.14,0.85,185.85,929.16,455,184,24.700001,932.900024,22,2.4,5.229648,595.2637147575018,745.4279668622571,113.9367626908466,534.6205880408465,10478563.525600592,5229648.0,0.6376669543088698,0.2868419344394016,0.4990806218069147
132,2018-07-02 01:00:00+00:00,423.13,320.02,26.58,46.24,1.05,171.52,929.12,376,147,24.5,932.900024,2,1.0,4.433832,640.5300632302324,762.497471833795,118.32614266702126,587.2844901853329,11510776.007632524,4433832.0,0.6605935057382466,0.41969975222390793,0.3851896689727982
133,2018-07-02 01:15:00+00:00,467.51,294.4,26.93,45.3,1.31,162.5,928.95,370,139,25.1,933.200012,48,0.9,4.746474,683.6853183236074,777.327206488544,122.38666244333945,637.8743807643657,12502337.862981567,4746474.0,0.683808745734561,0.37873368839089866,0.3796469150025079
134,2018-07-02 01:30:00+00:00,458.44,297.2,27.16,44.67,1.58,153.37,928.75,476,186,25.299999,933.099976,330,1.7,6.4233720000000005,724.5112782035568,790.2226155605562,126.1311622469858,686.0291964851465,13446172.251108872,6423372.000000001,0.6327575757505295,0.3760965507032177,0.4777100783808776
135,2018-07-02 01:45:00+00:00,536.02,418.0,27.53,43.57,1.84,147.32,928.42,432,163,25.5,933.099976,56,1.6,5.6844,762.8066031800872,801.4314442147665,129.5682094859834,731.4255922644111,14335941.608382456,5684400.0,0.7026944939456085,0.5215667578523222,0.3965138918169309
136,2018-07-02 02:00:00+00:00,563.11,451.14,27.79,42.64,2.05,144.19,928.1,491,185,26.0,933.0,300,0.0,6.579692999999999,798.3860463127448,811.1555964911535,132.7032257455129,773.7735309787782,15165961.207184054,6579692.999999999,0.705310422947219,0.556169496890009,0.4338460919234862
137,2018-07-02 02:15:00+00:00,588.11,465.71,28.05,41.76,2.29,140.59,928.03,722,271,26.4,932.799988,240,0.7,8.142903,831.080073552781,819.5601734629257,135.539339567939,812.8132499417572,15931139.698858442,8142903.0,0.7076454107314725,0.5682438154994939,0.5111312281433001
138,2018-07-02 02:30:00+00:00,597.88,429.07,28.33,40.43,2.61,136.28,928.1,706,246,26.6,932.700012,75,0.5,9.862434,860.7347459144152,826.7804025067262,138.07803910059556,842.2537828441504,16508174.143745348,9862434.0,0.6946158533019748,0.5189648892246322,0.5974273056561316
139,2018-07-02 02:45:00+00:00,611.3,356.25,28.59,39.43,2.92,133.28,928.21,709,235,27.1,932.700012,320,0.5,8.128692,887.2117425991221,832.9269698474351,140.31967368967923,873.3005628832036,17116691.03251079,8128691.999999999,0.689012521643562,0.42770856617267816,0.4748985644807557
140,2018-07-02 03:00:00+00:00,623.0,378.55,28.86,38.49,3.18,131.89,928.28,653,213,27.0,932.700012,88,0.8,8.142903,910.3884802523372,838.0901424952798,142.26384261503256,900.453809808421,17648894.672245055,8142903.0,0.684323246079871,0.4516817234873181,0.461383171650158
141,2018-07-02 03:15:00+00:00,647.68,484.61,29.1,37.68,3.43,131.65,928.33,503,191,27.6,932.799988,151,0.7,8.370279,930.1582932111124,842.342960635229,143.9096977040242,923.5751506162414,18102072.95207833,8370279.0,0.696311589895162,0.5753119841288222,0.4623933967208431
142,2018-07-02 03:30:00+00:00,638.16,451.56,29.28,36.92,3.72,130.75,928.35,368,146,27.4,932.700012,15,0.6,5.854932,946.4306235623566,845.7437014135526,145.25617678361277,942.5561062091203,18474099.68169876,5854932.0,0.6742808021130713,0.5339206183212185,0.3169265133824166
143,2018-07-02 03:45:00+00:00,664.12,440.08,29.47,36.68,4.05,129.82,928.41,379,148,27.200001,932.599976,105,0.9,5.599133999999999,959.1312134867296,848.3377681150463,146.30218289321078,957.3202721644728,18763477.334423665,5599133.999999999,0.6924182954965302,0.518755637837309,0.2984059884106754
144,2018-07-02 04:00:00+00:00,670.77,493.86,29.63,36.59,4.41,128.94,928.44,277,105,27.4,932.5,320,2.6,4.078557,968.2022848478543,850.159111737046,147.0467203395225,967.8249048628476,18969368.135311816,4078557.0,0.692799439226077,0.5809030253065743,0.2150075306097146
145,2018-07-02 04:15:00+00:00,676.35,512.94,29.76,36.48,4.75,128.82,928.45,345,127,27.700001,932.5,47,1.3,4.334355,973.6026727637608,851.2312496124013,147.48899673167398,974.0582004679798,19091540.7291724,4334355.0,0.6946879039270186,0.6025859603175536,0.2270301313804907
146,2018-07-02 04:30:00+00:00,671.26,470.9,29.89,36.0,5.0,129.94,928.41,495,187,28.1,932.400024,314,0.5,8.043426,975.307901753518,851.5679202486399,147.6285015275315,976.0269184381914,19130127.60138855,8043426.0,0.688254446409317,0.5529799664864161,0.4204585650236944
147,2018-07-02 04:45:00+00:00,653.08,471.36,29.99,35.61,5.12,131.49,928.27,373,140,27.6,932.5,159,0.3,6.693381,973.3102024417778,851.173416172422,147.46506261613808,973.7363803868836,19085233.05558292,6693381.0,0.6709885485239907,0.5537766934964011,0.3507099431537733
148,2018-07-02 05:00:00+00:00,615.41,395.36,30.06,35.53,5.13,133.36,928.1,497,195,27.6,932.299988,154,1.7,6.068097,967.6185056702768,850.0426727769992,146.9988672142738,967.1802779133238,18956733.447101142,6068097.0,0.6360047853505041,0.46510606192086906,0.3201024594734665
149,2018-07-02 05:15:00+00:00,576.37,522.21,30.15,35.33,5.0,135.25,927.97,842,361,28.299999,932.099976,281,0.5,9.706113,958.2584498722651,848.1611615652212,146.23043750756096,956.3523824869826,18744506.69674485,9706113.0,0.6014765641532611,0.6156966666998741,0.5178110663048578
150,2018-07-02 05:30:00+00:00,556.41,523.05,30.28,35.03,4.84,137.4,927.9,368,138,28.0,932.099976,133,0.6,6.608115,945.2723617069504,845.5045326158216,145.1605719307031,941.2664157892316,18448821.74946894,6608115.0,0.5886240014414977,0.6186247143841891,0.3581862890615341
151,2018-07-02 05:45:00+00:00,515.02,458.01,30.32,34.84,4.86,134.86,927.64,945,400,28.5,932.0,334,1.1,10.14665,928.7191758468144,842.037930157418,143.7902649069606,921.9675508441236,18070563.99654482,10146650.0,0.554548687476384,0.5439303665505609,0.561501566964932
152,2018-07-02 06:00:00+00:00,473.91,345.3,30.32,34.69,5.07,133.95,927.36,355,140,28.6,931.700012,158,1.0,4.803318,908.6742987672166,837.7149415457247,142.12060244024758,898.5345917442205,17611277.998186722,4803318.0,0.5215400068461779,0.4121927195936884,0.2727410242740223
153,2018-07-02 06:15:00+00:00,411.99,325.11,30.26,34.6,5.24,133.31,927.09,618,250,28.200001,931.599976,284,1.2,7.034445,885.2294281630847,832.4761387071212,140.1526228084191,871.0782458869994,17073133.619385187,7034445.0,0.46540477179448175,0.3905337160833376,0.4120183884704649
154,2018-07-02 06:30:00+00:00,359.43,218.28,30.24,34.54,5.26,134.13,927.01,574,230,28.5,931.700012,196,0.0,10.43087,858.4923612155732,826.2471442524694,137.88713323447325,839.7389716708054,16458883.844747787,10430870.0,0.41867582780942736,0.2641824562038087,0.6337531814667132
155,2018-07-02 06:45:00+00:00,376.74,283.37,30.41,34.39,5.22,137.23,926.96,568,232,28.299999,931.5,333,1.8,5.7270330000000005,828.5868067249158,818.9361116618619,135.32447127194246,809.9640893582297,15875296.1514213,5727033.000000001,0.4546777681497343,0.3460221083973926,0.3607512543624117
156,2018-07-02 07:00:00+00:00,350.29,254.55,30.4,34.81,5.24,140.8,926.94,559,213,29.200001,931.5,67,1.5,10.8572,795.6522090687281,810.4304611944219,132.46419561086998,770.6591028454504,15104918.415770829,10857200.0,0.4402551718042702,0.3140923400446242,0.7187857425740316
157,2018-07-02 07:15:00+00:00,309.52,140.31,30.26,35.68,5.27,143.16,926.96,412,156,29.6,931.400024,322,2.1,7.062867,759.8436362867953,800.5926649380709,129.30468881591753,728.0632378125063,14270039.461125124,7062867.0,0.40734696616341043,0.17525766365952597,0.4949437609644232
158,2018-07-02 07:30:00+00:00,310.48,129.04,30.16,36.54,5.23,144.71,926.92,376,133,28.4,931.400024,303,1.0,5.599133999999999,721.3317686667893,789.2547920976747,125.84264446104464,682.4384109945224,13375792.855492638,5599133.999999999,0.4304260722827287,0.16349599811366183,0.4186020268473857
159,2018-07-02 07:45:00+00:00,342.61,163.09,30.11,37.31,5.12,146.89,926.86,220,82,28.0,931.299988,353,1.1,3.680649,680.30303476495,776.2114175824048,122.0723993422398,634.0770309466432,12427909.806554206,3680649.0,0.5036138051601878,0.21011028220631128,0.296159938178736
160,2018-07-02 08:00:00+00:00,386.17,242.28,30.1,37.84,4.97,147.86,926.76,165,59,28.0,931.200012,225,0.4,1.819008,636.9600192343061,761.2103668659239,117.98506007886056,583.3051297665411,11432780.543424204,1819008.0,0.6062703911372924,0.318282580671519,0.1591046021648897
161,2018-07-02 08:15:00+00:00,395.17,308.91,30.05,38.17,4.84,147.37,926.6,33,14,26.9,931.5,176,2.4,0.42633,591.5222752528151,743.9405653496112,113.56734768343496,530.4869107631199,10397543.45095715,426330.0,0.6680559913506307,0.4152347840513701,0.0410029544008064
162,2018-07-02 08:30:00+00:00,385.21,287.91,30.0,38.31,4.68,146.71,926.53,0,0,24.9,931.400024,27,0.0,0.0,544.227745520578,724.0159953846633,108.80005065196237,476.0312631733647,9330212.758197946,0.0,0.7078102929712441,0.3976569603922024,0.0
163,2018-07-02 08:45:00+00:00,371.35,324.57,29.98,38.33,4.52,146.95,926.51,0,0,23.0,931.700012,112,0.0,0.0,495.3351830792757,700.95445567372,103.65593671411278,419.0269342204432,8212927.910720686,0.0,0.7496943740024369,0.46304006968333006,0.0
164,2018-07-02 09:00:00+00:00,339.82,300.62,29.95,38.37,4.35,147.18,926.49,12,0,21.200001,931.700012,162,2.1,0.0,445.1281389385471,674.1494393063732,98.09690563299984,362.4426399198318,7103875.742428703,0.0,0.7634206204315346,0.44592486839313467,0.0
